ProjectID,AuthorizationCategory,AuthorizationType,ApplicationType,eFactsAuthID,PermitNumber,Submitted,Status
10000001,WRM Water Obstructions & Encroachments,GP-08 Temporary Road Crossings,New,1508486,GP084002224-010,12/3/24,Issued
10000001,WRM Water Obstructions & Encroachments,GP-08 Temporary Road Crossings,New,1538847,GP084002225-006,8/26/25,Issued
10000001,WPC Erosion & Sediment Control,Erosion & Sediment Control Pmt,,,ESP024025001,2/12/25,Issued
10000001,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,New,1560084,E4002226-007,2/20/26,Issued
10000001,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,New,1560115,E4002226-008,2/20/26,Issued
10000001,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,New,1511183,E4002224-013,12/31/24,Issued
10000001,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,Major Amendment,1544936,E4002224-013A,10/8/25,Pending
10000001,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,New,1516086,PAD400093,2/14/25,Issued
10000001,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,Major Amendment,1538832,PAD400093-A1,8/26/25,Pending
10000001,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,New,1548884,PAD400107,11/12/25,Issued
10000001,WPC Erosion & Sediment Control,Chapter 102 Individual NPDES Permit,New,1528154,PAD400099,5/22/25,Issued
10000001,WPC State Water Pollution Control,WQM Sewer Extensions,New,1563856,4026401,3/24/26,Issued
10000001,WPC State Water Pollution Control,WQM Sewer Extensions,New,1564521,4026402,3/30/26,Issued
10000001,WPC State Water Pollution Control,WQM Major Sewage Treatment Plants,Amendment,1564528,4008405,3/30/26,Issued
10000001,WPC Act 537 Municipal Sewage Planning,New Land Development Plan App Component 3-Commercial,New,1546661,2-40940187-3,10/20/25,Issued
10000002,Safe Drinking Water,Noncommunity Water System Operations Approval,Transfer,1492258,2401123,6/11/24,Issued
10000002,Safe Drinking Water,Noncommunity Water System Operations Approval,Modification,1500188,2401123,9/19/24,Issued
10000002,Safe Drinking Water,Noncommunity Water System Operations Approval,Modification,1512204,2401123,9/5/24,Issued
10000002,Storage Tanks,Storage Tank Registration/Permitting,Modification,1535031,40-98591,7/22/25,Issued
10000002,Storage Tanks,Storage Tank Registration/Permitting,Modification,1534345,40-98591,7/17/25,Issued
10000002,Storage Tanks,Site Specific Installation Permit,New,1532915,25001,7/2/25,Issued
10000002,Storage Tanks,Storage Tank Registration/Permitting,Modification,1531870,40-98591,6/25/25,Issued
10000002,Storage Tanks,Storage Tank Registration/Permitting,Modification,1531009,40-98591,6/17/25,Issued
10000002,Storage Tanks,Storage Tank Registration/Permitting,Modification,1528417,40-98591,5/27/25,Issued
10000002,Storage Tanks,Storage Tank Registration/Permitting,New,1527333,40-98591,4/30/25,Issued
